"X","Y","SAMELO","OBJECTID","AREA","PERIMETER","PHTW911_","PHTW911_ID","XLO","YLO","SNO","YEAR","LNO","FE","MN","CU","ZN","CD","CR","NI","PB","add","county"
120.5712343,22.71391346,0,130649,62500,1000,11098,11098,205125,2512875,"GR95GE13571",2006,"GE1357",16.87,249.94,102.51,453.61,1.96,0.4,5.77,0.05,"908台灣屏東縣長治鄉榮華三街","屏東縣"
120.5712765,22.70036737,0,70907,62500,1000,26292,1026,205125,2511375,"GR88GE13511",1999,"GE1351",869.08,69.15,67.69,1304.36,0.59,1.2,1.58,10.98,"908台灣屏東縣長治鄉水源路125號","屏東縣"
120.5713043,22.6913368,0,130816,62500,1000,11617,11617,205125,2510375,"GR95GE23581",2006,"GE2358",487.71,83.73,23.36,273.53,0.35,0.86,1.95,10.42,"908台灣屏東縣長治鄉興華街148號","屏東縣"
120.5722192,22.39330278,0,86440,62500,1000,14936,14936,205125,2477375,"GR93GD43691",2004,"GD4369",617.15,108.52,14.21,46.97,0.32,18.48,1.39,0,"940台灣屏東縣枋寮鄉屏136鄉道12號","屏東縣"
120.5735555,22.75004308,0,88824,62500,1000,19706,19706,205375,2516875,"GR92GF93611",2003,"GF9361",404.82,23.63,136.66,13.29,0.22,0.15,0.46,7.57,"907台灣屏東縣鹽埔鄉建設街14巷","屏東縣"
120.5736537,22.71843556,0,130652,62500,1000,11110,11110,205375,2513375,"GR95GE13691",2006,"GE1369",1447.71,187.28,83.73,229.12,0.4,1.25,2.28,3.08,"台灣屏東縣屏28鄉道","屏東縣"
120.5737304,22.69360111,0,130823,62500,1000,11636,11636,205375,2510625,"GR95GE23691",2006,"GE2369",201.27,84.95,116.72,80.06,0.18,1.11,1.23,6.76,"908台灣屏東縣長治鄉興華街148號","屏東縣"
120.5742148,22.53555684,0,87994,62500,1000,18238,18238,205375,2493125,"GR93GE83751",2004,"GE8375",134.14,87.27,138.73,43.27,0.21,0.22,1.55,24.77,"Unnamed Road, 潮州鎮屏東縣台灣 920","屏東縣"
120.5778006,23.72760084,0,89061,62500,1000,20364,20364,206125,2625125,"GR93GI03821",2004,"GI0382",380.09,13.9,142.88,47.52,0.1,0.68,1.38,2.69,"640台灣雲林縣斗六市北環路113號","雲林縣"
120.5785137,22.72070658,0,70761,62500,1000,26138,16575,205875,2513625,"GR91GE138A1",2002,"GE138A",507.53,99.85,102.08,246.91,0.81,2.87,8.28,7.65,"907台灣屏東縣鹽埔鄉屏28鄉道","屏東縣"
120.5785345,22.71393352,0,130659,62500,1000,11130,11130,205875,2512875,"GR95GE13871",2006,"GE1387",430.88,139.56,18.62,75.52,0.27,13.18,1.67,5.14,"908台灣屏東縣長治鄉中山路149號","屏東縣"
120.5785691,22.70264507,0,122662,62500,1000,13873,13873,205875,2511625,"GR95GE13821",2006,"GE1382",549.8,140.74,7.91,430.36,0.22,1.8,3.11,9.09,"908台灣屏東縣長治鄉水源路15號","屏東縣"
120.5787321,22.64846073,0,42805,62500,1000,35611,77870,205875,2505625,"GR89GE33801",2000,"GE3380",1215.57,106.68,160.56,143.1,0.46,1.21,1.74,3.58,"912台灣屏東縣內埔鄉大同路三段榮和巷69號","屏東縣"
120.5792068,22.49266869,0,71543,62500,1000,26946,51195,205875,2488375,"GR92GD03991",2003,"GD0399",599.98,86.66,52.33,333.67,0.46,2.21,2.41,3.04,"Unnamed Road, 新埤鄉屏東縣台灣 925","屏東縣"
120.5809541,22.71845551,0,41641,62500,1000,34346,77237,206125,2513375,"GR88GE13991",1999,"GE1399",809.18,148.6,75.13,206.54,1.06,5.2,36.91,16.02,"908台灣屏東縣長治鄉中山路","屏東縣"
120.5809885,22.70716705,0,135467,62500,1000,2282,2282,206125,2512125,"GR95GE13941",2006,"GE1394",733.78,85.57,177.87,303.91,0.97,4.74,1.57,12.74,"908台灣屏東縣長治鄉天主巷22號","屏東縣"
120.5815534,24.08654348,0,16426,62500,1000,7906,22222,206625,2664875,"GR82GK63A61",1993,"GK63A6",1334.34,128.49,50.08,17.19,0.29,2.12,45.76,9.12,"500台灣彰化縣彰化市三竹路25號","彰化縣"
120.5834354,22.70265824,0,135470,62500,1000,2288,2288,206375,2511625,"GR95GE14021",2006,"GE1402",846,111.93,104.51,702.6,0.91,3.46,1.79,9.6,"908台灣屏東縣長治鄉鐵道東巷","屏東縣"
120.5840269,24.08203552,0,16542,62500,1000,8025,22237,206875,2664375,"GR82GK64041",1993,"GK6404",958.65,72.09,77.16,29.55,0.38,4.86,87.18,14.79,"500台灣彰化縣彰化市彰南路二段262巷3號","彰化縣"
120.5865688,22.46785024,0,85732,62500,1000,13745,13745,206625,2485625,"GR93GD14191",2004,"GD1419",357.94,55.08,7.18,264.65,0.23,0.28,1.95,3.59,"925台灣屏東縣新埤鄉民眾路45號","屏東縣"
120.5882184,24.30777902,0,58873,62500,1000,13839,25509,207375,2689375,"GR91GL74241",2002,"GL7424",597.87,37.88,135.29,14.02,0.21,0.52,1.73,35.16,"436台灣台中市清水區臨港路七段585巷","台中市"
120.5889227,24.08882091,0,16354,62500,1000,7831,22288,207375,2665125,"GR82GK64271",1993,"GK6427",1471.84,50.73,114.6,2571.41,0.82,23.26,23.06,14.85,"500台灣彰化縣彰化市彰興路二段248巷","彰化縣"
120.5891706,22.40915183,0,86277,62500,1000,14742,14742,206875,2479125,"GR93GD34351",2004,"GD3435",784.41,317.73,5.69,406.97,1.85,1.06,4.21,28.2,"940台灣屏東縣枋寮鄉屏136鄉道","屏東縣"
120.5900959,23.71634681,0,62792,62500,1000,17915,53120,207375,2623875,"GR92GI14381",2003,"GI1438",58.82,38.54,0.65,221.45,0.26,0.09,0.84,2.69,"640台灣雲林縣斗六市南仁路89號","雲林縣"
120.5915992,22.40915796,0,86288,62500,1000,14757,14757,207125,2479125,"GR93GD34451",2004,"GD3445",453.59,260.76,4.89,489.84,2.5,0.75,4.27,33.67,"940台灣屏東縣枋寮鄉屏136鄉道","屏東縣"
120.5931214,22.71848803,0,87083,62500,1000,16247,16247,207375,2513375,"GR93GE14491",2004,"GE1449",285.16,39.19,165.31,650.94,0.23,16.42,189.22,19.2,"907台灣屏東縣鹽埔鄉振興路58號","屏東縣"
120.5942183,23.96919007,0,91226,62500,1000,26756,26756,207875,2651875,"GR93GJ14591",2004,"GJ1459",5102.52,99.35,98.6,471.01,1.83,6.71,10.48,14.38,"510台灣彰化縣員林市浮圳路一段217巷5號","彰化縣"
120.5942322,23.96467545,0,91224,62500,1000,26750,26750,207875,2651375,"GR93GJ14571",2004,"GJ1457",3704.07,331.48,97.88,205.32,0.28,1.71,3.11,12.56,"510台灣彰化縣員林市浮圳巷12弄21號","彰化縣"
120.5962498,24.10464192,0,15915,62500,1000,7378,81238,208125,2666875,"GR89GK54531",2000,"GK5453",2309.96,103.66,47.13,56.99,0.74,29.23,34.04,18.09,"414台灣台中市烏日區環河路五段","台中市"
